id,district_id,name
9303012002,930301,Dagimon
9303012003,930301,Rep
9303012004,930301,Mappi Bawah/Yamui
9303012005,930301,Wanggate
9303012006,930301,Piai
9303012007,930301,Muin
9303012008,930301,Gauda
9303012009,930301,Soba
9303012010,930301,Enem
9303012011,930301,Kogo
9303012012,930301,Kadam/Oyim
9303012014,930301,Tokhom
9303012015,930301,Emete
9303012016,930301,Wairu
9303012017,930301,Rayam
9303012018,930301,Harome
9303012019,930301,Metim
9303012020,930301,Masin
9303012021,930301,Madu
9303012022,930301,Yangpop
9303012023,930301,Paedam
9303012024,930301,Marbin
9303022001,930302,Mur
9303022002,930302,Agham
9303022003,930302,Waghien/Koba
9303022004,930302,Khatan
9303022005,930302,Monana
9303022006,930302,Wagin
9303022007,930302,Waman
9303022008,930302,Ima
9303022009,930302,Kogoyaman
9303022010,930302,Magabag
9303022011,930302,Tereyemu
9303022012,930302,Yatan
9303022013,930302,Linggua
9303022014,930302,Waruwe
9303022015,930302,Ghanu
9303032001,930303,Bidnew
9303032002,930303,Senggo
9303032003,930303,Kumasma
9303032004,930303,Womin
9303032005,930303,Tamanin
9303032006,930303,Epem
9303032007,930303,Abau
9303041001,930304,Bade
9303042002,930304,Geturki
9303042003,930304,Mememu
9303042004,930304,Gimikya
9303042005,930304,Banamepe
9303042006,930304,Yodom
9303042007,930304,Isyaman
9303052001,930305,Yagatsu
9303052002,930305,Amagatsu
9303052003,930305,Katage
9303052004,930305,Sogope
9303052005,930305,Wiyage
9303052006,930305,Kasima
9303052007,930305,Amenda
9303052008,930305,Kaibu
9303052009,930305,Omuro
9303052010,930305,Okor
9303052011,930305,Atsipim
9303052012,930305,Semtaipim
9303052013,930305,Geiripim
9303052014,930305,Warogom
9303052015,930305,Kaibusene
9303052016,930305,Arare
9303052017,930305,Paghai
9303052018,930305,Kerke
9303052019,930305,Mani
9303062001,930306,Sigare
9303062002,930306,Jufo Besar
9303062003,930306,Eci
9303062004,930306,Aboge
9303062005,930306,Khanami
9303062006,930306,Yame
9303062007,930306,Kaitok
9303062008,930306,Homang
9303062009,930306,Jufo Kecil
9303062010,930306,Khabu
9303062011,930306,Kiki
9303062012,930306,Isage
9303062013,930306,Kopi
9303062014,930306,Asaren
9303062015,930306,Keru
9303062016,930306,Girimio
9303062017,930306,Haffo
9303062018,930306,Meda
9303072001,930307,Amazu
9303072002,930307,Imembi
9303072003,930307,Yemu
9303072004,930307,Fomu
9303072005,930307,Tiau
9303072006,930307,Binerbis
9303072007,930307,Tayau
9303082001,930308,Sepoh
9303082002,930308,Bagaram
9303082003,930308,Passue/Taim
9303082004,930308,Nohon
9303082005,930308,Kotiak
9303082006,930308,Menya
9303082007,930308,Tokhompatu
9303082008,930308,Kotup
9303082009,930308,Rimba Jaya/Gayu
9303082010,930308,Kaime
9303082011,930308,Baitate
9303082012,930308,Urufu
9303082013,930308,Afogoma
9303092001,930309,Kabe
9303092002,930309,Kaumi
9303092003,930309,Kayagai
9303092004,930309,Ati
9303092005,930309,Upin
9303092006,930309,Taragai
9303092007,930309,Sene
9303092008,930309,Komru
9303092009,930309,Kofar
9303092010,930309,Sumuraman
9303092011,930309,Pano
9303092012,930309,Kogir
9303102001,930310,Sien
9303102002,930310,Sahapikya
9303102003,930310,Harapan
9303102004,930310,Yibin
9303102005,930310,Mopio
9303102006,930310,Pies
9303102007,930310,Memes
9303102008,930310,Getiyo
9303112001,930311,Homlikia
9303112002,930311,Kobeta
9303112003,930311,Asset
9303112004,930311,Osso
9303112005,930311,Bosma
9303112006,930311,Oghoto
9303122001,930312,Amk
9303122002,930312,Yame
9303122003,930312,Benggo
9303122004,930312,Kokoya
9303122005,930312,Borohaba
9303122006,930312,Ogorito
9303122007,930312,Hebeske
9303132001,930313,Yeloba
9303132002,930313,Konebi
9303132003,930313,Sibi
9303132004,930313,Tagaimon Sino
9303132005,930313,Tagaimon Karome
9303142001,930314,Wonggi
9303142002,930314,Busiri
9303142003,930314,Keta
9303142004,930314,Veta
9303142005,930314,Honya
9303142006,930314,Haku
9303142007,930314,Bifo
9303142008,930314,Samurukie
9303152001,930315,Sagis
9303152002,930315,Kumaban
9303152003,930315,Tugumau
9303152004,930315,Basman
9303152005,930315,Merokima
9303152006,930315,Mu
9303152007,930315,Pier
9303152008,930315,Tarwa
9304012001,930401,Yomoth
9304012002,930401,Uwus
9304012003,930401,Asuwetsy
9304012004,930401,Bismam
9304012005,930401,Bis Agats
9304012006,930401,Per
9304012007,930401,Beriten
9304012008,930401,Mbait
9304012009,930401,Bou
9304012010,930401,Saw
9304012011,930401,Kaye
9304012012,930401,Suwru
9304022001,930402,Atsj
9304022002,930402,Sogoni
9304022003,930402,Amanamkai
9304022004,930402,Ambisu
9304022005,930402,Bine
9304022006,930402,Bipim
9304022007,930402,Yasiuw
9304022008,930402,Bakasai
9304022009,930402,Cewewyamew
9304032001,930403,Sawa
9304032002,930403,Erma
9304032003,930403,Bu
9304032004,930403,Er
9304032005,930403,Pupis
9304032006,930403,Sona
9304032007,930403,Agani
9304032008,930403,Mumugu
9304032009,930403,Sauti
9304032010,930403,Mumugi II
9304042001,930404,Ayam
9304042006,930404,Waw
9304042007,930404,Bayiw Pinam
9304042008,930404,Cumnew
9304042009,930404,Jewes
9304052001,930405,Basim
9304052002,930405,Waras
9304052003,930405,Biopis
9304052004,930405,Nanai
9304052005,930405,Pirien
9304052006,930405,Ocenep
9304052007,930405,Ais
9304052008,930405,Yawas
9304052009,930405,Bakyor
9304052010,930405,Isar
9304052011,930405,Kayarpis
9304052012,930405,Sayoa
9304052013,930405,Bora
9304062001,930406,Kamur
9304062002,930406,Sanep
9304062003,930406,Saramit
9304062004,930406,Yahoi
9304062005,930406,Hainam
9304062006,930406,Yagamit
9304062007,930406,Bawor
9304062008,930406,Sanapai
9304062009,930406,Sarmafo
9304072001,930407,Binam
9304072002,930407,Wagabus
9304072003,930407,Burbis
9304072004,930407,Bubis
9304072005,930407,Karbis
9304072006,930407,Jinak
9304072007,930407,Wowi
9304072008,930407,Soray
9304072009,930407,Waganu Dua
9304072014,930407,Emnam
9304082001,930408,Suru-Suru
9304082002,930408,See
9304082009,930408,Dumaten
9304082010,930408,Hom-hom
9304082011,930408,Ajin
9304082012,930408,Laluk
9304082013,930408,Kebikduk
9304082014,930408,Hulam
9304082015,930408,Walase
9304082016,930408,Berimono
9304082017,930408,Asgun
9304082018,930408,Korobuk
9304082019,930408,Katalina
9304082020,930408,Obio
9304082021,930408,Salbik
9304082022,930408,Linduk
9304082023,930408,Besika
9304092001,930409,Binamsain
9304092002,930409,Pirabanak
9304092003,930409,Woutu Braza
9304092004,930409,Patipi
9304092005,930409,Ulakin
9304092006,930409,Woutu Kolof
