kode,nama
9405062001,Yauria
9405062002,Gigobak
9405062003,Kalibuk
9405062004,Kelemame
9405062005,Gulabut
9405062006,Kolaribanak
9405062007,Mogulu
9405062008,Gigobak II
9405062009,Pasir Putih
9405062010,Gingga Baru
9405062011,Tenonggame
9405072001,Agandugume
9405072002,Gut'yenggenak
9405072003,Dugunale
9405072004,Ogobak'pelenak
9405072005,Dolinggu
9405072006,Ayume
9405072007,Terowi
9405082001,Gome
9405082002,Misimaga
9405082003,Upaga
9405082004,Agiyome
9405082005,Yenggernok
9405082006,Wako
9405082007,Tegelobak
9405082008,Ninggabuma
9405082009,Kelanungin
9405082010,Yonggolawi
9405092001,Tayai
9405092002,Kordesi
9405092003,Faisau
9405092004,Fokri
9405092005,Foisa
9405092006,Duaita
9405092007,Dervos
9405102001,Babe
9405102002,Jambul
9405102003,Nungai
9405102004,Mugulip
9405102005,Kelmabet
9405102006,Jenggeren
9405112001,Puluk
9405112002,Kelandiruma
9405112003,Pupet
9405112004,Pilokoma
9405112005,Gimurik
9405112006,Wandibet
9405112007,Meningimte
9405112008,Bungok
9405122001,Erong Berong
9405122002,Hikinat
9405122003,Daung
9405122004,Kombet
9405122005,Onop
9405122006,Kulamagom
9405122007,Ogamanin
9405132001,Aguit
9405132002,Kembru
9405132003,Molu
9405132004,Belaba
9405132005,Makuma
9405132006,Tinoti
9405132007,Nilime
9405142001,Golu
9405142002,Bina
9405142003,Lumakluk
9405142004,Wogot
9405142005,Kabogoluk
9405142006,Ogomegat
9405142007,Mamaput
9405152001,Kilunggame
9405152002,Bakcini
9405152003,Timobut
9405152004,Tagalame I
9405152005,Wonelupaga
9405152006,Komapaga
9405152007,Timobut Egewak
9405162001,Nigilome
9405162002,Weni
9405162003,Amuleme
9405162004,Jigunggi
9405162005,Kumikomo
9405162006,Rumagi
9405162007,Gelegi
9405162008,Wombru
9405162009,Kondokwe
9405162010,Tinibolu
9405162011,Winanggwi
9405172001,Pamebut
9405172002,Agenggen
9405172003,Yugumuak
9405172004,Wilewak
9405172005,Lambera
9405172006,Wobulo
9405172007,Mugalolo
9405172008,Manggame
9405172009,Jerusalem
9405172010,Wiyabubu
9405182001,Mayuberi
9405182002,Maki
9405182003,Paluga
9405182004,Ayali
9405182005,Toegi
9405182006,Amungi
9405182007,Olenki
9405182008,Mundiba
9405182009,Akonobak
9405192001,Bubet
9405192002,Bologobak
9405192003,Ko'eao
9405192004,Ogongki
9405192005,Mabuga
9405192006,Kabuki
9405192007,Oknanim
9405192008,Kalemogom
9405202001,Eromaga
9405202002,Pinggil/Eronggobak
9405202003,Gilini
9405202004,Pinapa
9405202005,Kunga
9405202006,Ondugura
9405202007,Manggume
9405202008,Kuleme
9405202009,Ninggibome
9405202010,Awilkinop
9405202011,Domaoa
9405202012,Pungtrama
9405202013,Balamagalama
9405202014,Aminggaru
9405212001,Tuput
9405212002,Wenggen'ambut
9405212003,Wamiru
9405212004,Piluwolu
9405212005,Tenawi
9405212006,Wanombut
9405212007,Pumbanak
9405222001,Jiwot
9405222002,Gunaluk
9405222003,Kugiame
9405222004,Wuyunggame
9405222005,Deogi
9405222006,Jugumi
9405232001,Amungkalpia
9405232002,Bela
9405232003,Ompliga
9405232004,Alama
9405232005,Tagalarama
9405232006,Bemoki
9405242001,Mundidok
9405242002,Yaiki Maiki
9405242003,Tobenggi
9405242004,Towenggi II
9405242005,Welenggaru
9405252001,Erelmakawia
9405252002,Kalpamonora
9405252003,Bomogin
9405252004,Mamoldema
9405252005,Wamagun
9405252006,Amungkonin
9405252007,Ipmangkop
9405252008,Tamagun
9405252009,Ai Arama
9406012001,Ikebo
9406012002,Mauwa
9406012003,Ekemanida
9406012004,Bukapa
9406012005,Kimupugi
9406012006,Dikiyouwo
9406012007,Idakotu
9406012008,Putapa
9406022001,Bobomani
9406022002,Abaimaida
9406022003,Bonakunu
9406022004,Dawaikunu
9406022005,Magone
9406022006,Diyoudimi
9406022007,Obaikagopa
9406032001,Apogomakida
9406032002,Deneiode
9406032003,Yegiyepa
9406032004,Ideduwa
9406032005,Kegata
9406032006,Egipa
9406032007,Ukagu
9406032008,Tibaugi
9406042001,Idakebo
9406042002,Pugatadi I
9406042003,Pugatadi II
9406042004,Ikrar
9406042005,Obayo
9406042006,Kuyakago
9406042007,Mogou
9406042008,Yametadi
9406042009,Duntek
9406042010,Ekimani
9406052001,Unito
9406052002,Sukikai
9406052003,Iyaro
9406052004,Wigoumakida
9406062001,Abouyaga
9406062002,Maikotu
9406062003,Taubaikebo
9406062004,Yegoukotu
9406072001,Puweta I
9406072002,Pouwouda
9406072003,Puweta II
9406072004,Botumoma
9406072005,Obaibega
9406072006,Digikebo
9406072007,Bogiyateugi
9406072008,Matadi
9406072009,Tuwaida
9406072010,Yepo
9406072011,Ugikagouda
9406072012,Ugikebo
9406082001,Ugapuga
9406082002,Deiyapa
9406082003,Boduda
9406082004,Yotapuga
9406082005,Bokaibutu
9406082006,Bunauwo
9406082007,Nuwa
9406092001,Piyakunu
9406092002,Diyeugi
9406092003,Putaapa
9406092004,Atou
9406092005,Modio
9406092006,Upibega
9406092007,Timepa
9406092008,Gabaikunu
9406092009,Adauwo
9406092010,Megaikebo
9406102001,Dogimani
9406102002,Kigamani
9406102003,Idadagi
9406102004,Denemani
9406102005,Makidimi
9406102006,Egebutu
9406102007,Motito
9406102008,Bobobutu
9406102009,Pona
9407012001,Emondi
9407012002,Mindau
9407012003,Sambili
9407012004,Yoparu
9407012005,Yokatapa
9407012006,Bilogai
9407012007,Puyagia
9407012008,Jalae
9407012009,Mamba
